Dataset,CustomCNN_Accuracy,Competitor_Model,Competitor_Accuracy,Improvement,Relative_Improvement_%
Brain_Tumor,96.08,mobilenetv3,77.0,19.08,24.78
Brain_Tumor,96.08,resnet50v2,89.25,6.83,7.65
Brain_Tumor,96.08,vgg19,82.0,14.08,17.17
Chest_Xray,96.72,mobilenetv3,76.37,20.35,26.65
Chest_Xray,96.72,resnet50v2,96.72,0.0,0.0
Chest_Xray,96.72,vgg19,92.67,4.05,4.37
Kidney_Cancer,99.93,mobilenetv3,79.52,20.41,25.67
Kidney_Cancer,99.93,resnet50v2,96.16,3.77,3.92
Kidney_Cancer,99.93,vgg19,79.72,20.21,25.35
Leukemia,99.89,mobilenetv3,57.33,42.56,74.24
Leukemia,99.89,resnet50v2,96.56,3.33,3.45
Leukemia,99.89,vgg19,94.44,5.45,5.77
Lung_Colon_Cancer,100.0,mobilenetv3,82.57,17.43,21.11
Lung_Colon_Cancer,100.0,resnet50v2,99.13,0.87,0.88
Lung_Colon_Cancer,100.0,vgg19,97.97,2.03,2.07
Lymphoma,97.04,mobilenetv3,50.22,46.82,93.23
Lymphoma,97.04,resnet50v2,78.67,18.37,23.35
Lymphoma,97.04,vgg19,53.63,43.41,80.94
