Dataset,Model,Accuracy
Brain_Tumor,CustomCNN,96.08
Chest_Xray,CustomCNN,96.72
Kidney_Cancer,CustomCNN,99.93
Leukemia,CustomCNN,99.89
Lung_Colon_Cancer,CustomCNN,100.0
Lymphoma,CustomCNN,97.04
Brain_Tumor,mobilenetv3,77.0
Chest_Xray,mobilenetv3,76.37
Kidney_Cancer,mobilenetv3,79.52
Leukemia,mobilenetv3,57.33
Lung_Colon_Cancer,mobilenetv3,82.57
Lymphoma,mobilenetv3,50.22
Brain_Tumor,resnet50v2,89.25
Chest_Xray,resnet50v2,96.72
Kidney_Cancer,resnet50v2,96.16
Leukemia,resnet50v2,96.56
Lung_Colon_Cancer,resnet50v2,99.13
Lymphoma,resnet50v2,78.67
Brain_Tumor,vgg19,82.0
Chest_Xray,vgg19,92.67
Kidney_Cancer,vgg19,79.72
Leukemia,vgg19,94.44
Lung_Colon_Cancer,vgg19,97.97
Lymphoma,vgg19,53.63
