Exp_ID,Attention,Dropout,Optimizer,Learning_Rate,Epochs,Filters,Kernels
Exp_001,all,0.5,sdg,0.001,20,32-64-128-256,3-3-3-3
Exp_002,se,0.5,sdg,0.0001,30,64-128-256-512,3-3-3-3
Exp_003,none,0.3,adam,0.0001,25,32-64-128,3-3-3-3
Exp_004,eca,0.3,rmsprop,0.0001,25,64-128-256-512,3-3-3-3
Exp_005,eca,0.2,sdg,0.001,20,32-64-128,3-5-5-3
Exp_006,bam,0.5,adam,0.0001,30,32-64-128-256,5-3-3-3
Exp_007,cbam,0.3,adam,0.001,25,32-64-128-256,3-3-3-3
Exp_008,se,0.5,adam,0.0001,20,32-64-128-256,3-5-5-3
Exp_009,eca+vit,0.2,sdg,0.0001,25,64-128-256-512,3-3-3-3
Exp_010,se,0.3,sdg,0.001,25,32-64-128-256,5-3-3-3
Exp_011,eca+vit,0.5,rmsprop,0.0001,20,64-128-256-512,5-3-3-3
Exp_012,cbam+vit,0.2,sdg,0.001,20,32-64-128-256,3-3-3-3
Exp_013,none,0.3,sdg,0.0001,25,32-64-128,3-5-5-3
Exp_014,none,0.3,sdg,0.0001,20,32-64-128-256,5-3-3-3
Exp_015,se,0.3,rmsprop,0.001,25,32-64-128-256,3-5-5-3
Exp_016,bam,0.5,adam,0.001,25,32-64-128-256,3-3-3-3
Exp_017,bam,0.5,rmsprop,0.001,25,32-64-128,3-3-3-3
Exp_018,bam+vit,0.3,sdg,0.0001,20,32-64-128,3-5-5-3
Exp_019,all,0.2,sdg,0.001,25,32-64-128,3-5-5-3
Exp_020,none,0.3,sdg,0.001,20,32-64-128-256,5-3-3-3
Exp_021,eca+vit,0.3,sdg,0.001,20,32-64-128,5-3-3-3
Exp_022,bam,0.3,adam,0.001,20,32-64-128,3-5-5-3
Exp_023,all,0.5,rmsprop,0.0001,20,64-128-256-512,5-3-3-3
Exp_024,eca+vit,0.2,sdg,0.0001,25,32-64-128-256,3-3-3-3
Exp_025,cbam+vit,0.2,adam,0.0001,20,32-64-128,5-3-3-3
Exp_026,bam,0.5,adam,0.001,30,64-128-256-512,3-5-5-3
Exp_027,cbam+vit,0.3,rmsprop,0.001,20,32-64-128,5-3-3-3
Exp_028,eca+vit,0.5,rmsprop,0.001,30,64-128-256-512,3-3-3-3
Exp_029,eca,0.5,adam,0.001,25,32-64-128-256,5-3-3-3
Exp_030,none,0.2,adam,0.0001,30,32-64-128,3-5-5-3
